"strategy","day","profit-per-ticket"
"5000 ticket(s)",44,0.94
"5000 ticket(s)",45,0.19
"5000 ticket(s)",46,0.41
"5000 ticket(s)",47,0.66
"5000 ticket(s)",48,1.63
"5000 ticket(s)",49,1.54
"5000 ticket(s)",50,0.53
"5000 ticket(s)",51,1.16
"5000 ticket(s)",52,0.91
"5000 ticket(s)",53,0.36
"5000 ticket(s)",54,0.82
"5000 ticket(s)",55,0.74
"5000 ticket(s)",56,0.16
"5000 ticket(s)",57,1.09
"5000 ticket(s)",58,0.58
"5000 ticket(s)",59,1.94
"5000 ticket(s)",60,1.01
"5000 ticket(s)",61,-0.05
"5000 ticket(s)",62,0.53
"5000 ticket(s)",63,1.06
"5000 ticket(s)",64,0.75
"5000 ticket(s)",65,0.68
"5000 ticket(s)",66,0.79
"5000 ticket(s)",67,0.93
"5000 ticket(s)",68,1.03
"5000 ticket(s)",69,1.3
"5000 ticket(s)",70,5.69
"5000 ticket(s)",71,1.53
"5000 ticket(s)",72,0.98
"5000 ticket(s)",73,0.31
